month,region,product,sales,profit
2026-01,华东,手机,125000,31250
2026-01,华南,手机,98000,24500
2026-01,华北,电脑,156000,46800
2026-01,西南,配件,42000,12600
2026-02,华东,手机,132000,33000
2026-02,华南,电脑,145000,43500
2026-02,华北,手机,89000,22250
2026-02,西南,电脑,76000,22800
2026-03,华东,电脑,168000,50400
2026-03,华南,手机,112000,28000
2026-03,华北,配件,53000,15900
2026-03,西南,手机,95000,23750
2026-04,华东,手机,141000,35250
2026-04,华南,配件,61000,18300
2026-04,华北,电脑,172000,51600
2026-04,西南,电脑,88000,26400
2026-05,华东,配件,72000,21600
2026-05,华南,手机,126000,31500
2026-05,华北,手机,104000,26000
2026-05,西南,配件,48000,14400
